unspsc_prefix,prefix_level,label,contracts,keyed_value,segment,source_url,note
781819,class,Rotary wing aircraft maintenance and repair services,1,2283021216.00,"","",""
781818,class,Aircraft fixed wing airframe heavy maintenance service,11,1327316050.32,"","",""
151015,class,Aviation fuel,103,1207002301.14,"","",""
251315,class,Commercial passenger jet aircraft,13,642210602.98,"","",""
721500,class,Specialized trade construction and maintenance services,8,522904052.04,"","",""
801015,class,Business and corporate management consultation services,37,351030036.98,"","",""
461015,class,Firearms,13,332925856.37,"","",""
461016,class,Ammunition,13,258236392.57,"","",""
811419,class,Application or technology research and development service,55,193040756.28,"","",""
461000,class,Light weapons and ammunition,16,178829760.28,"","",""
801615,class,Data archiving services,3,178260342.00,"","",""
921117,class,Military science and research,125,141484456.46,"","",""
781018,class,Relocation services,4,98495766.55,"","",""
432300,class,Software,127,97214453.68,"","",""
811100,class,Computer services,10,94263497.82,"","",""
761100,class,Cleaning and janitorial services,40,87384919.08,"","",""
521615,class,Earphone,4,65520261.47,"","",""
251117,class,Ammunition ships,4,58860674.57,"","",""
251115,class,Commercial marine craft,13,48179719.52,"","",""
721033,class,Infrastructure maintenance and repair services,2,40924355.15,"","",""
521600,class,Consumer electronics,2,39589991.66,"","",""
411100,class,Measuring and observing and testing instruments,10,39169254.63,"","",""
811400,class,Manufacturing technologies,1,32101935.32,specialized_manufacturing,"","manufacturing technologies, carved out of an R and D services family"
811122,class,Industry specific software maintenance,50,30441882.35,"","",""
721029,class,Exterior grounds maintenance,48,28951897.05,"","",""
252017,class,Aircraft cameras,5,27958370.23,"","",""
761115,class,Building cleaning services,5,26770005.07,"","",""
251017,class,Fire fighting chemical truck,3,24578137.74,other,"","fire fighting chemical trucks, a facilities purchase rather than defence manufacturing"
721015,class,Air conditioning installation or maintenance or repair service,41,22361070.28,"","",""
721512,class,HVAC mechanical construction service,17,20417335.00,"","",""
251015,class,Armored motor vehicle,6,16242282.81,"","",""
252016,class,Aircraft guidance systems,1,15541011.37,"","",""
721534,class,Rigging and scaffolding services,2,13800000.00,"","",""
811121,class,Application service providers,1,12907286.68,"","",""
251000,class,Motor vehicles,3,12456285.25,"","",""
811115,class,Software or hardware engineering,3,11127612.38,"","",""
251020,class,Armored fighting vehicles,5,11097289.49,"","",""
411137,class,Electronic and communication measuring and testing instruments,5,9038053.12,"","",""
811117,class,Demining geographical or geospatial information system GIS,3,9005527.49,"","",""
251116,class,Lifeboats or liferafts,1,8551683.50,"","",""
781815,class,Automotive and light truck maintenance and repair,34,8501853.13,other,"","automotive and light truck maintenance, not aircraft work"
721526,class,Roofing and siding and sheet metal services,6,8342751.35,"","",""
411125,class,Liquid and gas flow measuring and observing instruments,2,7840393.47,"","",""
721000,class,Building and facility maintenance and repair services,13,7671225.61,"","",""
432325,class,Computer based training software,5,7444698.79,"","",""
801600,class,Business administration services,1,7425545.40,"","",""
721527,class,Concrete installation and repair services,3,6927000.00,"","",""
801616,class,Information technology IT management services,1,6780000.00,"","",""
811119,class,Database information retrieval,22,6733623.52,"","",""
251100,class,Marine transport,5,6295787.92,"","",""
721545,class,Crane maintenance and repair service,7,5734257.45,"","",""
721513,class,Aircraft painting service,4,5698452.65,"","",""
251119,class,Marine craft systems and subassemblies,9,4840349.36,"","",""
432326,class,Analytical or scientific software,15,4700877.47,"","",""
721510,class,Boiler and furnace construction and maintenance services,8,4696771.04,"","",""
252000,class,Aerospace systems and components and equipment,3,4518172.23,"","",""
251019,class,All terrain vehicles tracked or wheeled,14,4046379.20,"","",""
811416,class,Logistics,1,4000000.00,"","",""
811120,class,Data conversion service,2,3953578.35,"","",""
252018,class,Flight computer systems,2,3850965.58,"","",""
811418,class,Equipment inspection service,6,3573809.99,"","",""
921100,class,Military services and national defense,4,3203419.97,"","",""
252019,class,Aircraft escape or ejection systems,8,2862832.58,"","",""
721533,class,Service station equipment installation and maintenance services,1,2625000.00,"","",""
721021,class,Bird proofing services,8,2553956.80,"","",""
781820,class,Water transport vessel maintenance and repair services,2,2314512.87,other,"","water transport vessel maintenance, not aircraft work"
251321,class,Military drone,20,2138082.82,uncrewed_autonomous,"","military, law enforcement and agricultural drones. broken out of family 2513 because tagging at family grain would hide the entire uncrewed capability inside an aircraft family"
761116,class,Air duct cleaning,7,1581996.45,"","",""
411136,class,Electrical measuring and testing equipment and accessories,1,1264508.52,"","",""
811415,class,Materials or product inspection,5,1199447.50,"","",""
151000,class,Fuels,2,1192932.42,"","",""
811125,class,Computer software licensing service,1,981868.30,"","",""
432315,class,Business function specific software,4,971151.92,"","",""
461017,class,Ammunition handling systems,2,898084.11,"","",""
781816,class,Panel and paint services,3,862312.50,other,"","panel and paint services, not aircraft work"
721519,class,Masonry and stonework services,1,860000.00,"","",""
721515,class,Electrical system services,5,855000.00,"","",""
811118,class,Proprietary or licensed systems maintenance or support,2,853072.20,"","",""
411122,class,Temperature and heat measuring instruments,2,838003.21,"","",""
521616,class,Audio visual equipment accessories,1,816011.76,"","",""
411145,class,Mechanical instruments,1,772680.22,"","",""
251016,class,Sludge or sewage handling trucks,1,724500.00,other,"","sludge and sewage handling trucks, a facilities purchase"
411153,class,Light and wave generating and measuring equipment,4,717897.71,"","",""
432323,class,Business intelligence and data analysis software,3,672395.94,"","",""
801016,class,Project administration or planning,1,654408.13,"","",""
781800,class,Transportation repair or maintenance services,5,628051.74,other,"","generic transportation repair, not specific to aircraft"
251300,class,Aircraft,2,561209.65,"","",""
411115,class,Weight measuring instruments,2,479266.73,"","",""
721540,class,Specialty building and trades services,6,345000.00,"","",""
721542,class,Instrumentation installation maintenance and repair services,2,324067.96,"","",""
461018,class,Arms and ammunition accessories,1,303607.27,"","",""
781017,class,Marine cargo transport,1,300000.00,"","",""
251021,class,Truck tractors,1,300000.00,other,"","truck tractors, a facilities purchase"
411142,class,Land surveying instruments,3,297002.10,"","",""
251118,class,Canoes or kayaks,2,213249.91,"","",""
252025,class,Aircraft hydraulic systems,1,199149.30,"","",""
251317,class,Reconnaissance or surveillance aircraft,2,180800.44,"","",""
721521,class,Acoustical and insulation services,1,165148.20,"","",""
411118,class,Non destructive examination equipment,1,148717.04,"","",""
781021,class,Water transport,1,114000.00,"","",""
721546,class,Animal habitat and enclosure construction and maintenance services,1,102009.44,"","",""
801000,class,Management advisory services,2,78751.00,"","",""
411152,class,Radar and sonar systems and components,2,75682.75,"","",""
811123,class,"Printer, scanner and multifunctional equipment maintenance",1,64274.45,"","",""
411133,class,Liquid and solid and elemental analyzers,1,49035.00,"","",""
411117,class,Viewing and observing instruments and accessories,1,42063.84,"","",""
721518,class,Machine installation and maintenance and repair services,3,29867.25,"","",""
721511,class,Plumbing construction services,1,0.00,"","",""
721524,class,Window and door installation and erection services,1,0.00,"","",""
721529,class,Structural steel erection services,1,0.00,"","",""
411119,class,Indicating and recording instruments,1,0.00,"","",""
721536,class,Interior finishing and furnishing and remodeling services,1,0.00,"","",""
7818,family,Aircraft fixed wing airframe heavy maintenance service,56,3622643996.56,aerospace,"","aircraft maintenance is 99.7 percent of the family, measured. the remaining 0.3 percent is truck, vessel and paint work"
1510,family,Aviation fuel,105,1208195233.56,other,"","aviation fuel is a consumable, not aerospace industrial capability. counting it as aerospace would make fuel a fifth of that number"
4610,family,Ammunition,45,771193700.60,specialized_manufacturing,"","firearms, ammunition and ammunition handling"
4612,family,Missiles,2,721777185.73,specialized_manufacturing,"",missiles
2513,family,Aircraft,37,645090695.89,aerospace,"",aircraft. drones sit in class 251321 and are tagged separately
7215,family,Acoustical and insulation services,79,593826712.38,other,"",""
8010,family,Business and corporate management consultation services,40,351763196.11,other,"",""
2500,family,Commercial and Military and Private Vehicles and their Accessories and Components,4,257449958.63,specialized_manufacturing,"",military and commercial vehicles
8114,family,Application or technology research and development service,68,233915949.09,other,"",""
8016,family,Business administration services,5,192465887.40,other,"",""
8111,family,Application service providers,95,170332223.54,other,"",""
9211,family,Military science and research,129,144687876.43,other,"",""
2511,family,Ammunition ships,34,126941464.78,other,"",""
7611,family,Air duct cleaning,52,115736920.60,other,"",""
4323,family,Analytical or scientific software,154,111003577.80,other,"",""
5216,family,Audio visual equipment accessories,7,105926264.89,other,"",""
7210,family,Air conditioning installation or maintenance or repair service,112,102462504.89,other,"",""
7810,family,Marine cargo transport,6,98909766.55,other,"",""
5100,family,Drugs and Pharmaceutical Products,6,84454258.60,other,"",""
2510,family,All terrain vehicles tracked or wheeled,33,69444874.49,specialized_manufacturing,"","motor vehicles, including armored motor and armored fighting vehicles"
4111,family,Electrical measuring and testing equipment and accessories,36,60732558.34,other,"",""
2520,family,Aerospace systems and components and equipment,20,54930501.29,aerospace,"","aircraft cameras, guidance, flight computers, ejection and hydraulics"
8100,family,Engineering and Research and Technology Based Services,14,51295878.99,other,"",""
2611,family,Batteries and cells and accessories,10,48703179.07,other,"",""
9010,family,Banquet and catering services,32,48102498.03,other,"",""
8116,family,Cloud-based software as a service,18,44351726.90,other,"",""
4615,family,Armored weapons storage container,11,43361622.85,other,"",""
8011,family,Labor training or development,14,40186142.59,other,"",""
5011,family,Meat and poultry products,44,34062339.34,"","",""
7214,family,Construction equipment rental or leasing service,30,32901602.23,"","",""
3124,family,Industrial optics,4,32309853.51,"","",""
8600,family,Education and Training Services,19,30895770.09,"","",""
7612,family,Garbage collection or destruction or processing or disposal,38,30408510.59,"","",""
6010,family,Basic math operations and numeration resources and materials,7,29912628.26,"","",""
8613,family,Curriculum development service,30,25948788.32,"","",""
5019,family,Packaged combination meals,18,25911997.04,"","",""
9011,family,Camping and wilderness facilities,31,24177110.94,"","",""
7200,family,Building and Facility Construction and Maintenance Services,14,23962254.83,"","",""
4322,family,Cable modems,28,22509959.54,"","",""
8110,family,Architectural engineering,17,19853236.83,"","",""
4410,family,Cleaning solutions for office equipment,10,19626871.65,"","",""
3116,family,Bolts,12,17523816.98,"","",""
4110,family,Laboratory and scientific equipment,31,16167874.44,"","",""
2610,family,Diesel engines,11,15683617.53,"","",""
3200,family,Electronic Components and Supplies,2,15114360.82,"","",""
2410,family,Conveyors and accessories,45,13786688.05,"","",""
5300,family,Apparel and Luggage and Personal Care Products,1,13108000.00,"","",""
8612,family,Educational institutions,17,12049356.60,"","",""
4712,family,Cleaning equipment accessories,7,11540742.41,"","",""
7311,family,Wood and paper industries,2,11402855.80,"","",""
2411,family,Bags,18,11143607.02,"","",""
1213,family,Explosive materials,5,10802474.70,"","",""
4611,family,Grenades,1,10462290.55,"","",""
4016,family,Air filters,3,9277372.45,"","",""
5310,family,Clothing,12,9249449.21,"","",""
2210,family,Aerial lifts,24,7432989.51,"","",""
5010,family,Nuts and seeds,9,7375000.00,"","",""
5511,family,Electronic catalogs,46,7303905.00,"","",""
8610,family,Agriculture and forestry and other natural resources training services,15,7179693.07,"","",""
5312,family,Equipment cases,5,7044961.08,"","",""
4619,family,Fire alarm systems,6,7000656.69,"","",""
3213,family,Electronic hardware and component parts and accessories,2,6864181.64,"","",""
3017,family,Doors,10,6821076.79,"","",""
5611,family,Commercial and industrial furniture,6,6151831.88,"","",""
2518,family,Product and material trailers,7,6019881.30,"","",""
4010,family,Air circulation and parts and accessories,12,5799906.80,"","",""
9111,family,Domestic and personal assistance,27,5677862.90,"","",""
3015,family,Fencing,4,5570097.37,"","",""
4912,family,Camping and outdoor equipment,4,5398275.05,"","",""
4319,family,Personal communication devices,3,4890586.88,"","",""
2519,family,Air transportation support systems and equipment,14,4855831.29,"","",""
2324,family,Lathes and turning centers,16,4702923.04,"","",""
7811,family,Chartered bus services,20,4691670.72,"","",""
8517,family,Funeral and associated services,1,4478901.90,"","",""
4616,family,Life vests or preservers,7,4284683.31,"","",""
7212,family,Automotive garage and service station construction services,7,4030297.15,"","",""
2318,family,Industrial food and beverage equipment,2,4000000.00,"","",""
7610,family,Asbestos removal or encapsulation,10,3712468.76,"","",""
8013,family,Commercial or industrial facility rental,9,3638563.50,"","",""
3012,family,Asphalt,4,3379269.11,"","",""
2517,family,Electrical components,10,3255594.53,"","",""
1511,family,Propane,9,3157493.50,"","",""
4100,family,Laboratory and Measuring and Observing and Testing Equipment,5,2971608.97,"","",""
7318,family,Coating services,4,2943000.00,"","",""
4617,family,Closed circuit television CCTV system,10,2753552.68,"","",""
7700,family,Environmental Services,2,2653072.36,"","",""
2300,family,Industrial Manufacturing and Processing Machinery and Accessories,4,2576603.26,"","",""
4321,family,Biometric identification equipment,10,2556664.11,"","",""
1214,family,Ammonia,7,2542787.32,"","",""
2315,family,Assembly machines,15,2489911.97,"","",""
7113,family,Other oilfield pumping services,1,2477169.00,"","",""
9212,family,Fire alarm maintenance or monitoring,5,2379102.40,"","",""
9514,family,Prefabricated buildings and structures,6,2360633.14,"","",""
7813,family,Refrigerated storage,1,2341456.05,"","",""
4300,family,Information Technology Broadcasting and Telecommunications,4,2192026.64,"","",""
2600,family,Power Generation and Distribution Machinery and Accessories,3,2179272.52,"","",""
3011,family,Aggregates,3,2149788.54,"","",""
8212,family,Printing,4,2111863.27,"","",""
4015,family,Compressors,10,2030716.35,"","",""
8213,family,Aerial photography services,3,2027015.32,"","",""
7713,family,Oil spillage control services,1,2000000.00,"","",""
