obsolete_hs10,obsolete_desc_en,new_hs10,new_desc_en,same_code,mechanical_relation,mapping_type,source_file,checked_on
0208900090,"Other meat and edible meat offal, fresh, chilled or frozen, nes",0208900090,"Meat and edible meat offal, fresh, chilled or frozen, o/t deer/frogs' legs,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0306190000,"Crustaceans, nes, frozen,including flours,meals and pellets of crustaceans",0306190000,"Crustaceans, nes, frozen",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0306390000,"Crustaceans, nes, live, fresh or chilled",0306390000,"Crustaceans, nes, live, fresh or chilled",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0306990000,"Crustaceans,nes,dr/sa/brine/smoked/ckd; crust flours,meals & pellets,f hum cons",0306990000,"Crustaceans,dr/sa/brine;smoked crust; crust w/n in shell,cooked in water,etc,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0307210010,"Scallops, including queen scallops, in shell, live, fresh or chilled",0307210010,"Scallops, including molluscs of family Pectinidae, in shell, live, fresh/chilled",True,same code,merge,conc-10-stats-2022.xlsx,2026-09-07
0307910000,"Molluscs, nes, live, fresh or chilled",0307210010,"Scallops, including molluscs of family Pectinidae, in shell, live, fresh/chilled",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307210090,"Scallops, including molluscs of family Pectinidae, shelled, fresh/chilled",0307210090,"Scallops, including molluscs of family Pectinidae, shelled, fresh/chilled",True,same code,merge,conc-10-stats-2022.xlsx,2026-09-07
0307910000,"Molluscs, nes, live, fresh or chilled",0307210090,"Scallops, including molluscs of family Pectinidae, shelled, fresh/chilled",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307921000,"Molluscs, nes, frozen, smoked, w/n cooked before/during smoking, w/n in shell",0307221000,"Scallops,including molluscs of family Pectinidae, shelled or not, frozen,smoked",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0307220000,"Scallops, including queen scallops, frozen, whether in shell or not",0307229000,"Scallops,incl molluscs of family Pectinidae,shelled or not,frozen,o/t smoked",False,same subheading,merge,conc-10-stats-2022.xlsx,2026-09-07
0307929000,"Molluscs, nes, frozen, other than smoked, whether in shell or not",0307229000,"Scallops,incl molluscs of family Pectinidae,shelled or not,frozen,o/t smoked",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307290000,"Scallops,incl queen scallops,dr/sa/in brine/smoked,w/n ckd before/during smoking",0307291000,"Scallops,incl molluscs fam Pectinidae,smoked, w/n cooked before/during smok proc",False,same subheading,merge,conc-10-stats-2022.xlsx,2026-09-07
0307991000,"Molluscs, nes, smoked, o/t fresh or frozen, w/n cooked, whether in shell or not",0307291000,"Scallops,incl molluscs fam Pectinidae,smoked, w/n cooked before/during smok proc",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307999000,"Molluscs, nes, dried, salted or in brine, whether in shell or not",0307299000,"Scallops,including molluscs of family Pectinidae,dried, salted or in brine, nes",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0307910000,"Molluscs, nes, live, fresh or chilled",0307910000,"Molluscs, nes, whether or not in shell, live, fresh or chilled",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0307921000,"Molluscs, nes, frozen, smoked, w/n cooked before/during smoking, w/n in shell",0307921000,"Molluscs, nes, whether or not in shell, frozen, smoked",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0307929000,"Molluscs, nes, frozen, other than smoked, whether in shell or not",0307929000,"Molluscs, nes, whether or not in shell, frozen, other than smoked",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0307991000,"Molluscs, nes, smoked, o/t fresh or frozen, w/n cooked, whether in shell or not",0307991000,"Molluscs, nes, whether or not in shell, smoked",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0307999000,"Molluscs, nes, dried, salted or in brine, whether in shell or not",0307999000,"Molluscs, nes, whether or not in shell, dried/salted/in brine",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0308901000,"Other smoked aquatic invertebrates, nes",0308901000,"Aquatic invertebrates, smoked, w/n cooked before/during smoking process, nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0308909000,"O aqua invert,nes,live/fr/chd/frz/dr/sa/brine; flour,meal,pellets,of aqua invert",0308909000,"Aqua invert,live/fr/chd/frz/dr/sa/brine,w/n ckd before/during smok proc,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0305100000,Fish meal fit for human consumption,0309100000,"Flours, meals and pellets of fish, fit for human consumption",False,same chapter,one to one,conc-10-stats-2022.xlsx,2026-09-07
0306190000,"Crustaceans, nes, frozen,including flours,meals and pellets of crustaceans",0309901000,"Flours, meals and pellets of crustaceans, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0306390000,"Crustaceans, nes, live, fresh or chilled",0309901000,"Flours, meals and pellets of crustaceans, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0306990000,"Crustaceans,nes,dr/sa/brine/smoked/ckd; crust flours,meals & pellets,f hum cons",0309901000,"Flours, meals and pellets of crustaceans, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307921000,"Molluscs, nes, frozen, smoked, w/n cooked before/during smoking, w/n in shell",0309902100,"Flours, meals and pellets of molluscs, smoked, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307991000,"Molluscs, nes, smoked, o/t fresh or frozen, w/n cooked, whether in shell or not",0309902100,"Flours, meals and pellets of molluscs, smoked, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307910000,"Molluscs, nes, live, fresh or chilled",0309902900,"Flours, meals and pellets of molluscs, o/t smoked, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307929000,"Molluscs, nes, frozen, other than smoked, whether in shell or not",0309902900,"Flours, meals and pellets of molluscs, o/t smoked, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0307999000,"Molluscs, nes, dried, salted or in brine, whether in shell or not",0309902900,"Flours, meals and pellets of molluscs, o/t smoked, fit for human consumption",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0308901000,"Other smoked aquatic invertebrates, nes",0309909100,"Flours,meals & pellets of other aquatic invert,smoked, fit for human consumption",False,same chapter,split,conc-10-stats-2022.xlsx,2026-09-07
0308909000,"O aqua invert,nes,live/fr/chd/frz/dr/sa/brine; flour,meal,pellets,of aqua invert",0309909900,"Flours,meals & pellets of other aquatic invert, nes, fit for human consumption",False,same chapter,split,conc-10-stats-2022.xlsx,2026-09-07
1901903990,"Food prep,nes,of goods of Nos 04.01 to 04.04, >10% <50% of dry milk solids",0403201000,"Yogourt, cont chocolate, spices, coffee,cereals ,etc,no milk replacements,pufrs",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
1901904090,"Food preparations, of Nos 04.01 to 04.04, <=10% wt of dry milk solids",0403201000,"Yogourt, cont chocolate, spices, coffee,cereals ,etc,no milk replacements,pufrs",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
1901905900,"Food preparations, nes, of Nos 04.01 to 04.04, >= 50% of dry milk solids",0403201000,"Yogourt, cont chocolate, spices, coffee,cereals ,etc,no milk replacements,pufrs",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
1901903390,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04, >10%<50% wt of dry milk solids, w/a",0403202100,"Yogourt,cont chocolate, spices,coffee,cereals,etc,no milk rplcmt,w/a, o/t pufrs",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
1901905300,"Food preparations,nes,o/t ret,of Nos 04.01 to 04.04,>=50% of dry milk solids,w/a",0403202100,"Yogourt,cont chocolate, spices,coffee,cereals,etc,no milk rplcmt,w/a, o/t pufrs",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
0403101010,"Yogourt,concentrated or n,sweetened or n,flav or cont fruit/cocoa,w/a,cert orgn",0403202910,"Yogourt, within access commitment, nes, certified organic",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
0403101020,"Yogourt,concentrated or n,sweetened or n,flav/cont fruit/cocoa,w/a,not cert orgn",0403202920,"Yogourt, within access commitment, nes, not certified organic",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
1901903490,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04, >10% <50% wt of dry milk solids,o/a",0403203100,"Yogourt,cont chocolate, spices,coffee,cereals,etc,no milk rplcmt,o/a, o/t pufrs",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
