holiday_name,actual_date,observed_date,statutory
New Year's Day,2002-01-01,2002-01-01,True
Good Friday,2002-03-29,2002-03-29,True
Victoria Day,2002-05-20,2002-05-20,True
Canada Day,2002-07-01,2002-07-01,True
Civic Holiday,2002-08-05,2002-08-05,False
Labour Day,2002-09-02,2002-09-02,True
Thanksgiving,2002-10-14,2002-10-14,True
Christmas Day,2002-12-25,2002-12-25,True
Boxing Day,2002-12-26,2002-12-26,True
New Year's Day,2003-01-01,2003-01-01,True
Good Friday,2003-04-18,2003-04-18,True
Victoria Day,2003-05-19,2003-05-19,True
Canada Day,2003-07-01,2003-07-01,True
Civic Holiday,2003-08-04,2003-08-04,False
Labour Day,2003-09-01,2003-09-01,True
Thanksgiving,2003-10-13,2003-10-13,True
Christmas Day,2003-12-25,2003-12-25,True
Boxing Day,2003-12-26,2003-12-26,True
New Year's Day,2004-01-01,2004-01-01,True
Good Friday,2004-04-09,2004-04-09,True
Victoria Day,2004-05-24,2004-05-24,True
Canada Day,2004-07-01,2004-07-01,True
Civic Holiday,2004-08-02,2004-08-02,False
Labour Day,2004-09-06,2004-09-06,True
Thanksgiving,2004-10-11,2004-10-11,True
Christmas Day,2004-12-25,2004-12-27,True
Boxing Day,2004-12-26,2004-12-28,True
New Year's Day,2005-01-01,2005-01-03,True
Good Friday,2005-03-25,2005-03-25,True
Victoria Day,2005-05-23,2005-05-23,True
Canada Day,2005-07-01,2005-07-01,True
Civic Holiday,2005-08-01,2005-08-01,False
Labour Day,2005-09-05,2005-09-05,True
Thanksgiving,2005-10-10,2005-10-10,True
Christmas Day,2005-12-25,2005-12-26,True
Boxing Day,2005-12-26,2005-12-27,True
New Year's Day,2006-01-01,2006-01-02,True
Good Friday,2006-04-14,2006-04-14,True
Victoria Day,2006-05-22,2006-05-22,True
Canada Day,2006-07-01,2006-07-03,True
Civic Holiday,2006-08-07,2006-08-07,False
Labour Day,2006-09-04,2006-09-04,True
Thanksgiving,2006-10-09,2006-10-09,True
Christmas Day,2006-12-25,2006-12-25,True
Boxing Day,2006-12-26,2006-12-26,True
New Year's Day,2007-01-01,2007-01-01,True
Good Friday,2007-04-06,2007-04-06,True
Victoria Day,2007-05-21,2007-05-21,True
Canada Day,2007-07-01,2007-07-02,True
Civic Holiday,2007-08-06,2007-08-06,False
Labour Day,2007-09-03,2007-09-03,True
Thanksgiving,2007-10-08,2007-10-08,True
Christmas Day,2007-12-25,2007-12-25,True
Boxing Day,2007-12-26,2007-12-26,True
New Year's Day,2008-01-01,2008-01-01,True
Family Day,2008-02-18,2008-02-18,True
Good Friday,2008-03-21,2008-03-21,True
Victoria Day,2008-05-19,2008-05-19,True
Canada Day,2008-07-01,2008-07-01,True
Civic Holiday,2008-08-04,2008-08-04,False
Labour Day,2008-09-01,2008-09-01,True
Thanksgiving,2008-10-13,2008-10-13,True
Christmas Day,2008-12-25,2008-12-25,True
Boxing Day,2008-12-26,2008-12-26,True
New Year's Day,2009-01-01,2009-01-01,True
Family Day,2009-02-16,2009-02-16,True
Good Friday,2009-04-10,2009-04-10,True
Victoria Day,2009-05-18,2009-05-18,True
Canada Day,2009-07-01,2009-07-01,True
Civic Holiday,2009-08-03,2009-08-03,False
Labour Day,2009-09-07,2009-09-07,True
Thanksgiving,2009-10-12,2009-10-12,True
Christmas Day,2009-12-25,2009-12-25,True
Boxing Day,2009-12-26,2009-12-28,True
New Year's Day,2010-01-01,2010-01-01,True
Family Day,2010-02-15,2010-02-15,True
Good Friday,2010-04-02,2010-04-02,True
Victoria Day,2010-05-24,2010-05-24,True
Canada Day,2010-07-01,2010-07-01,True
Civic Holiday,2010-08-02,2010-08-02,False
Labour Day,2010-09-06,2010-09-06,True
Thanksgiving,2010-10-11,2010-10-11,True
Christmas Day,2010-12-25,2010-12-27,True
Boxing Day,2010-12-26,2010-12-28,True
New Year's Day,2011-01-01,2011-01-03,True
Family Day,2011-02-21,2011-02-21,True
Good Friday,2011-04-22,2011-04-22,True
Victoria Day,2011-05-23,2011-05-23,True
Canada Day,2011-07-01,2011-07-01,True
Civic Holiday,2011-08-01,2011-08-01,False
Labour Day,2011-09-05,2011-09-05,True
